Serial Number of system during year,Basin of origin,Date(DD-MM-YYYY),Time (UTC),"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",Maximum Sustained Surface Wind (kt) ,Grade (text),Year
1,BOB,01-05-1982 00:00,300,1.5,998.2494324,25,D,1982
1,BOB,01-05-1982 00:00,600,2,997.1939113,30,DD,1982
1,BOB,01-05-1982 00:00,1200,2.5,995.3747521,35,CS,1982
1,BOB,01-05-1982 00:00,1800,2.5,995.3747521,40,CS,1982
1,BOB,02-05-1982 00:00,0,3,995.3747521,45,CS,1982
1,BOB,02-05-1982 00:00,300,3,995.3747521,45,CS,1982
1,BOB,02-05-1982 00:00,600,3.5,988.6627119,50,SCS,1982
1,BOB,02-05-1982 00:00,1200,3.5,988.6627119,55,SCS,1982
1,BOB,02-05-1982 00:00,1800,3.5,988.6627119,55,SCS,1982
1,BOB,03-05-1982 00:00,0,3.5,988.6627119,60,SCS,1982
1,BOB,03-05-1982 00:00,300,4,977.4003656,65,VSCS,1982
1,BOB,03-05-1982 00:00,600,4.5,977.4003656,80,VSCS,1982
1,BOB,03-05-1982 00:00,1200,5,977.4003656,90,VSCS,1982
1,BOB,03-05-1982 00:00,1800,5.5,977.4003656,105,VSCS,1982
1,BOB,04-05-1982 00:00,0,6,977.4003656,115,VSCS,1982
1,BOB,04-05-1982 00:00,300,6,977.4003656,115,VSCS,1982
1,BOB,04-05-1982 00:00,600,6,977.4003656,115,VSCS,1982
1,BOB,04-05-1982 00:00,1200,6,977.4003656,115,VSCS,1982
1,BOB,04-05-1982 00:00,1800,6,977.4003656,115,VSCS,1982
1,BOB,05-05-1982 00:00,300,2,997.1939113,30,DD,1982
1,BOB,05-05-1982 00:00,300,2,997.1939113,30,DD,1982
1,BOB,05-05-1982 00:00,300,2,997.1939113,30,DD,1982
2,BOB,31-05-1982 00:00,1200,1.5,990,25,D,1982
2,BOB,31-05-1982 00:00,1800,2,988,30,DD,1982
2,BOB,01-06-1982 00:00,0,2.5,986,35,CS,1982
2,BOB,01-06-1982 00:00,300,2.5,984,40,CS,1982
2,BOB,01-06-1982 00:00,600,2.5,984,40,CS,1982
2,BOB,01-06-1982 00:00,1200,2.5,984,40,CS,1982
2,BOB,01-06-1982 00:00,1800,2.5,984,40,CS,1982
2,BOB,02-06-1982 00:00,0,2.5,984,40,CS,1982
2,BOB,02-06-1982 00:00,300,3,982,45,CS,1982
2,BOB,02-06-1982 00:00,600,3.5,982,45,CS,1982
2,BOB,02-06-1982 00:00,1200,3,982,45,SCS,1982
2,BOB,02-06-1982 00:00,1800,3,979,50,SCS,1982
2,BOB,03-06-1982 00:00,0,3.5,976,55,SCS,1982
2,BOB,03-06-1982 00:00,300,4,972,65,VSCS,1982
2,BOB,03-06-1982 00:00,600,4.5,960,80,VSCS,1982
2,BOB,03-06-1982 00:00,900,5,952,90,VSCS,1982
2,BOB,03-06-1982 00:00,1200,5,952,90,VSCS,1982
2,BOB,03-06-1982 00:00,1800,5,952,90,VSCS,1982
2,BOB,04-06-1982 00:00,0,4,970,65,VSCS,1982
2,BOB,04-06-1982 00:00,300,3,982,45,CS,1982
2,BOB,04-06-1982 00:00,600,2.5,986,35,CS,1982
2,BOB,04-06-1982 00:00,1200,2,988,30,DD,1982
2,BOB,04-06-1982 00:00,1800,2,988,30,DD,1982
2,BOB,05-06-1982 00:00,0,1.5,990,25,D,1982
2,BOB,05-06-1982 00:00,300,1.5,991,20,D,1982
3,BOB,18-07-1982 00:00,1200,2,991,30,DD,1982
3,BOB,18-07-1982 00:00,1800,2,991,30,DD,1982
3,BOB,19-07-1982 00:00,0,2,991,30,DD,1982
3,BOB,19-07-1982 00:00,300,2,991,30,DD,1982
3,BOB,19-07-1982 00:00,600,2,991,30,DD,1982
3,BOB,19-07-1982 00:00,1200,1.5,991,25,D,1982
3,BOB,19-07-1982 00:00,1200,1.5,991,25,D,1982
3,BOB,19-07-1982 00:00,1200,1.5,991,25,D,1982
3,BOB,19-07-1982 00:00,1200,1.5,991,25,D,1982
5,BOB,18-08-1982 00:00,300,1.5,991,25,D,1982
5,BOB,18-08-1982 00:00,1200,1.5,991,25,D,1982
5,BOB,19-08-1982 00:00,300,1.5,991,25,D,1982
5,BOB,19-08-1982 00:00,1200,1.5,991,25,D,1982
5,BOB,19-08-1982 00:00,1200,1.5,991,25,D,1982
6,BOB,27-08-1982 00:00,300,1.5,991,25,D,1982
6,BOB,27-08-1982 00:00,1200,1.5,991,25,D,1982
6,BOB,28-08-1982 00:00,300,1.5,991,25,D,1982
6,BOB,28-08-1982 00:00,1200,1.5,991,25,D,1982
6,BOB,29-08-1982 00:00,300,1.5,991,25,D,1982
6,BOB,29-08-1982 00:00,1200,1.5,991,25,D,1982
6,BOB,30-08-1982 00:00,300,1.5,991,25,D,1982
6,BOB,30-08-1982 00:00,1200,1.5,991,25,D,1982
6,BOB,31-08-1982 00:00,300,1.5,991,25,D,1982
6,BOB,31-08-1982 00:00,1200,1.5,991,25,D,1982
6,BOB,01-09-1982 00:00,300,1.5,991,20,D,1982
6,BOB,01-09-1982 00:00,1200,1.5,991,20,D,1982
6,BOB,02-09-1982 00:00,300,1.5,991,20,D,1982
6,BOB,02-09-1982 00:00,1200,1.5,991,20,D,1982
6,BOB,02-09-1982 00:00,1200,1.5,991,20,D,1982
7,BOB,09-09-1982 00:00,300,1.5,991,25,D,1982
7,BOB,09-09-1982 00:00,1200,1.5,991,25,D,1982
7,BOB,09-09-1982 00:00,1200,1.5,991,25,D,1982
7,BOB,09-09-1982 00:00,1200,1.5,991,25,D,1982
7,BOB,10-09-1982 00:00,300,1.5,991,25,D,1982
7,BOB,10-09-1982 00:00,1200,1.5,991,25,D,1982
7,BOB,10-09-1982 00:00,1200,1.5,991,25,D,1982
7,BOB,10-09-1982 00:00,1200,1.5,991,25,D,1982
8,BOB,29-09-1982 00:00,0,2,991,30,DD,1982
8,BOB,29-09-1982 00:00,0,2,991,30,DD,1982
8,BOB,29-09-1982 00:00,0,2,991,30,DD,1982
8,BOB,29-09-1982 00:00,300,2,991,30,DD,1982
8,BOB,29-09-1982 00:00,1200,2,991,30,DD,1982
8,BOB,29-09-1982 00:00,1200,2,991,30,DD,1982
8,BOB,29-09-1982 00:00,1200,2,991,30,DD,1982
9,BOB,15-10-1982 00:00,300,2,991,30,DD,1982
9,BOB,15-10-1982 00:00,1200,2.5,991,35,CS,1982
9,BOB,15-10-1982 00:00,1800,3,991,45,CS,1982
9,BOB,16-10-1982 00:00,0,3.5,991,55,SCS,1982
9,BOB,16-10-1982 00:00,300,3,991,50,SCS,1982
9,BOB,16-10-1982 00:00,1200,2.5,991,40,CS,1982
9,BOB,16-10-1982 00:00,1800,1.5,991,25,DD,1982
10,BOB,16-10-1982 00:00,1200,1.5,990,25,D,1982
10,BOB,17-10-1982 00:00,300,2,992,30,DD,1982
10,BOB,17-10-1982 00:00,1200,2,992,30,DD,1982
10,BOB,17-10-1982 00:00,1800,2.5,994,35,CS,1982
10,BOB,18-10-1982 00:00,0,3,986,50,SCS,1982
10,BOB,18-10-1982 00:00,300,3.5,982,55,SCS,1982
10,BOB,18-10-1982 00:00,1200,3.5,982,55,SCS,1982
10,BOB,18-10-1982 00:00,1800,3,986,50,SCS,1982
10,BOB,19-10-1982 00:00,0,3,995,30,DD,1982
10,BOB,19-10-1982 00:00,300,3,996,30,DD,1982
10,BOB,19-10-1982 00:00,1200,3,997,25,D,1982
10,BOB,20-10-1982 00:00,300,3,998,20,D,1982
10,BOB,20-10-1982 00:00,1200,3,998,20,D,1982
10,BOB,21-10-1982 00:00,300,3,998,20,D,1982
10,BOB,21-10-1982 00:00,1200,3,998,20,D,1982
11,BOB,28-11-1982 00:00,300,1.5,998,25,D,1982
11,BOB,28-11-1982 00:00,1200,2,998,30,DD,1982
11,BOB,29-11-1982 00:00,300,1.5,998,25,D,1982
12,BOB,02-12-1982 00:00,1200,1.5,998,25,D,1982
12,BOB,03-12-1982 00:00,300,1.5,998,25,D,1982
12,BOB,03-12-1982 00:00,1200,1.5,998,25,D,1982
12,BOB,04-12-1982 00:00,0,1.5,998,25,D,1982
13,ARB,15-07-1982 00:00,300,1.5,998,25,D,1982
13,ARB,15-07-1982 00:00,1200,1.5,998,25,D,1982
13,ARB,16-07-1982 00:00,300,1.5,998,25,D,1982
13,ARB,16-07-1982 00:00,1200,1.5,998,25,D,1982
14,ARB,01-10-1982 00:00,300,1.5,998,25,D,1982
14,ARB,01-10-1982 00:00,1200,2,998,30,DD,1982
14,ARB,02-10-1982 00:00,300,1.5,998,25,D,1982
14,ARB,02-10-1982 00:00,1200,1.5,998,25,D,1982
15,ARB,04-11-1982 00:00,1200,1.5,999,25,D,1982
15,ARB,05-11-1982 00:00,0,2,997,30,DD,1982
15,ARB,05-11-1982 00:00,300,2.5,995,35,CS,1982
15,ARB,05-11-1982 00:00,1200,2.5,994,40,CS,1982
15,ARB,06-11-1982 00:00,0,3,992,45,CS,1982
15,ARB,06-11-1982 00:00,300,3.5,986,55,SCS,1982
15,ARB,06-11-1982 00:00,1200,3.5,982,60,SCS,1982
15,ARB,07-11-1982 00:00,300,3.5,982,60,SCS,1982
15,ARB,07-11-1982 00:00,1200,4,980,65,VSCS,1982
15,ARB,08-11-1982 00:00,300,4.5,970,80,VSCS,1982
15,ARB,08-11-1982 00:00,1200,5,962,90,SuCS,1982
15,ARB,09-11-1982 00:00,0,5,990,50,SCS,1982
15,ARB,09-11-1982 00:00,300,5,995,35,CS,1982
15,ARB,09-11-1982 00:00,1200,5,999,25,D,1982
15,ARB,10-11-1982 00:00,300,5,999,25,D,1982
16,ARB,28-11-1982 00:00,1200,1.5,999,25,D,1982
16,ARB,29-11-1982 00:00,300,2,999,30,DD,1982
16,ARB,29-11-1982 00:00,600,1.5,999,25,D,1982
16,ARB,29-11-1982 00:00,1200,1.5,999,25,D,1982
17,LAND,17-06-1982 00:00,300,1.5,999,25,D,1982
17,LAND,17-06-1982 00:00,1200,1.5,999,25,D,1982
17,LAND,18-06-1982 00:00,300,1.5,999,25,D,1982
17,LAND,18-06-1982 00:00,1200,1.5,999,25,D,1982
18,LAND,02-08-1982 00:00,300,1.5,999,25,D,1982
18,LAND,02-08-1982 00:00,1200,1.5,999,25,D,1982
18,LAND,03-08-1982 00:00,300,1.5,999,25,D,1982
18,LAND,03-08-1982 00:00,1200,1.5,999,25,D,1982
18,LAND,04-08-1982 00:00,300,1.5,999,25,D,1982
18,LAND,05-08-1982 00:00,1200,1.5,999,25,D,1982
1,LAND,20-06-1983 00:00,300,1.5,999,25,D,1983
1,LAND,20-06-1983 00:00,1200,1.5,999,25,D,1983
1,LAND,20-06-1983 00:00,1800,1.5,999,25,D,1983
1,LAND,21-06-1983 00:00,300,1.5,999,25,D,1983
1,LAND,22-06-1983 00:00,300,1.5,999,25,D,1983
1,LAND,22-06-1983 00:00,1200,1.5,999,25,D,1983
1,LAND,22-06-1983 00:00,1200,1.5,999,25,D,1983
2,LAND,24-06-1983 00:00,300,2,999,30,DD,1983
2,LAND,24-06-1983 00:00,1200,2,999,30,DD,1983
2,LAND,24-06-1983 00:00,1800,2,999,30,DD,1983
2,LAND,25-06-1983 00:00,300,2,999,30,DD,1983
2,LAND,25-06-1983 00:00,1200,2,999,30,DD,1983
2,LAND,25-06-1983 00:00,1800,2,999,30,DD,1983
2,LAND,26-06-1983 00:00,300,1.5,999,25,D,1983
2,LAND,26-06-1983 00:00,1200,1.5,999,25,D,1983
2,LAND,27-06-1983 00:00,300,1.5,999,25,D,1983
2,LAND,27-06-1983 00:00,1200,1.5,999,25,D,1983
2,LAND,27-06-1983 00:00,1200,1.5,999,25,D,1983
3,LAND,04-08-1983 00:00,0,1.5,999,25,D,1983
3,LAND,04-08-1983 00:00,300,1.5,999,25,D,1983
3,LAND,04-08-1983 00:00,600,1.5,999,25,D,1983
3,LAND,04-08-1983 00:00,1200,1.5,999,25,D,1983
3,LAND,04-08-1983 00:00,1800,1.5,999,25,D,1983
3,LAND,05-08-1983 00:00,300,2,999,30,DD,1983
3,LAND,05-08-1983 00:00,1200,2,999,30,DD,1983
3,LAND,06-08-1983 00:00,300,2,999,30,DD,1983
3,LAND,06-08-1983 00:00,1200,2,999,30,DD,1983
3,LAND,07-08-1983 00:00,300,2,999,30,DD,1983
3,LAND,07-08-1983 00:00,1200,1.5,999,25,D,1983
3,LAND,08-08-1983 00:00,0,1.5,999,25,D,1983
3,LAND,08-08-1983 00:00,300,1.5,999,25,D,1983
3,LAND,08-08-1983 00:00,600,1.5,999,25,D,1983
3,LAND,08-08-1983 00:00,1200,2,999,30,DD,1983
3,LAND,08-08-1983 00:00,1800,2,999,30,DD,1983
3,LAND,09-08-1983 00:00,300,2,999,30,DD,1983
3,LAND,09-08-1983 00:00,1200,2,999,30,DD,1983
3,LAND,09-08-1983 00:00,1800,2,999,30,DD,1983
3,LAND,10-08-1983 00:00,300,2,999,30,DD,1983
3,LAND,10-08-1983 00:00,1200,1.5,999,25,D,1983
3,LAND,10-08-1983 00:00,1800,1.5,999,25,D,1983
3,LAND,10-08-1983 00:00,1800,1.5,999,25,D,1983
4,LAND,09-09-1983 00:00,0,1.5,999,25,D,1983
4,LAND,09-09-1983 00:00,300,1.5,999,25,D,1983
4,LAND,09-09-1983 00:00,600,1.5,999,25,D,1983
4,LAND,09-09-1983 00:00,1200,1.5,999,25,D,1983
4,LAND,09-09-1983 00:00,1800,1.5,999,25,D,1983
4,LAND,10-09-1983 00:00,0,1.5,999,25,D,1983
4,LAND,10-09-1983 00:00,300,1.5,999,25,D,1983
4,LAND,10-09-1983 00:00,600,1.5,999,25,D,1983
4,LAND,10-09-1983 00:00,1200,1.5,999,25,D,1983
4,LAND,10-09-1983 00:00,1200,1.5,999,25,D,1983
5,LAND,14-10-1983 00:00,300,1.5,999,25,D,1983
5,LAND,14-10-1983 00:00,1200,4,999,55,CS,1983
5,LAND,15-10-1983 00:00,300,4,999,55,CS,1983
5,LAND,15-10-1983 00:00,1200,3,999,40,CS,1983
5,LAND,15-10-1983 00:00,1200,3,999,40,CS,1983
6,LAND,06-11-1983 00:00,300,1.5,999,25,D,1983
6,LAND,06-11-1983 00:00,1200,2.5,999,40,DD,1983
6,LAND,07-11-1983 00:00,300,3,999,45,CS,1983
6,LAND,07-11-1983 00:00,1200,3,999,45,CS,1983
6,LAND,08-11-1983 00:00,300,4.5,999,65,SCS,1983
6,LAND,08-11-1983 00:00,1200,5,999,90,SCS,1983
6,LAND,09-11-1983 00:00,300,5,999,90,SCS,1983
6,LAND,09-11-1983 00:00,300,5,999,90,SCS,1983
7,LAND,21-12-1983 00:00,1200,1.5,999,25,D,1983
7,LAND,22-12-1983 00:00,300,1.5,999,25,D,1983
7,LAND,22-12-1983 00:00,1200,1.5,999,25,D,1983
7,LAND,23-12-1983 00:00,300,1.5,999,25,D,1983
1,ARB,05-06-1984 00:00,1200,1.5,999,25,D,1984
1,ARB,06-06-1984 00:00,300,1.5,999,25,D,1984
1,ARB,06-06-1984 00:00,1200,1.5,999,25,D,1984
1,ARB,06-06-1984 00:00,1200,1.5,999,25,D,1984
2,BOB,31-07-1984 00:00,300,1.5,999,25,D,1984
2,BOB,31-07-1984 00:00,1200,1.5,999,25,D,1984
2,BOB,01-08-1984 00:00,300,1.5,999,25,D,1984
2,BOB,01-08-1984 00:00,1200,1.5,999,25,D,1984
2,BOB,02-08-1984 00:00,300,1.5,999,25,D,1984
2,BOB,02-08-1984 00:00,1200,1.5,999,25,D,1984
2,BOB,03-08-1984 00:00,300,1.5,999,25,D,1984
2,BOB,03-08-1984 00:00,1200,1.5,999,25,D,1984
2,BOB,03-08-1984 00:00,1800,1.5,999,25,D,1984
2,BOB,04-08-1984 00:00,300,1.5,999,25,D,1984
2,BOB,04-08-1984 00:00,1200,1.5,999,25,D,1984
2,BOB,05-08-1984 00:00,300,1.5,999,25,D,1984
2,BOB,05-08-1984 00:00,1200,1.5,999,25,D,1984
2,BOB,06-08-1984 00:00,300,1.5,999,25,D,1984
2,BOB,06-08-1984 00:00,1200,1.5,999,25,D,1984
2,BOB,07-08-1984 00:00,300,1.5,999,25,D,1984
2,BOB,07-08-1984 00:00,1200,1.5,999,25,D,1984
2,BOB,07-08-1984 00:00,1800,1.5,999,25,D,1984
2,BOB,07-08-1984 00:00,1800,1.5,999,25,D,1984
3,BOB,15-08-1984 00:00,0,1.5,999,25,D,1984
3,BOB,15-08-1984 00:00,300,1.5,999,25,D,1984
3,BOB,15-08-1984 00:00,1200,1.5,999,25,D,1984
3,BOB,16-08-1984 00:00,300,1.5,999,25,D,1984
3,BOB,16-08-1984 00:00,1200,1.5,999,25,D,1984
3,BOB,17-08-1984 00:00,300,1.5,999,25,D,1984
3,BOB,17-08-1984 00:00,1200,1.5,999,25,D,1984
3,BOB,18-08-1984 00:00,300,1.5,999,25,D,1984
3,BOB,18-08-1984 00:00,1200,1.5,999,25,D,1984
3,BOB,19-08-1984 00:00,300,1.5,999,25,D,1984
3,BOB,19-08-1984 00:00,1200,1.5,999,25,D,1984
3,BOB,19-08-1984 00:00,1200,1.5,999,25,D,1984
4,BOB,13-10-1984 00:00,0,1.5,999,25,D,1984
4,BOB,13-10-1984 00:00,300,1.5,999,25,D,1984
4,BOB,13-10-1984 00:00,1200,4,999,65,SCS,1984
4,BOB,14-10-1984 00:00,300,3.5,999,55,SCS,1984
4,BOB,14-10-1984 00:00,1200,2.5,999,35,CS,1984
4,BOB,15-10-1984 00:00,300,1.5,999,25,D,1984
4,BOB,15-10-1984 00:00,1200,1.5,999,20,D,1984
4,BOB,15-10-1984 00:00,1200,1.5,999,20,D,1984
5,BOB,09-11-1984 00:00,1200,1.5,999,25,D,1984
5,BOB,10-11-1984 00:00,300,2,999,30,DD,1984
5,BOB,10-11-1984 00:00,1200,2,999,30,DD,1984
5,BOB,10-11-1984 00:00,1800,2,999,30,DD,1984
5,BOB,11-11-1984 00:00,300,2,999,30,DD,1984
5,BOB,11-11-1984 00:00,600,2.5,999,35,DD,1984
5,BOB,11-11-1984 00:00,1200,2.5,999,40,CS,1984
5,BOB,12-11-1984 00:00,300,3.5,999,55,SCS,1984
5,BOB,12-11-1984 00:00,1200,5,999,90,SCS,1984
5,BOB,13-11-1984 00:00,300,5,999,90,SCS,1984
5,BOB,13-11-1984 00:00,1200,5.5,999,102,SCS,1984
5,BOB,13-11-1984 00:00,1800,6,999,115,SCS,1984
5,BOB,14-11-1984 00:00,300,6,999,115,SCS,1984
5,BOB,14-11-1984 00:00,1200,4,999,65,CS,1984
5,BOB,14-11-1984 00:00,1200,4,999,65,CS,1984
6,BOB,27-11-1984 00:00,1200,1.5,999,25,D,1984
6,BOB,28-11-1984 00:00,300,1.5,999,25,D,1984
6,BOB,28-11-1984 00:00,1200,2,999,30,DD,1984
6,BOB,28-11-1984 00:00,1500,2.5,999,35,DD,1984
6,BOB,29-11-1984 00:00,900,3,999,45,CS,1984
6,BOB,30-11-1984 00:00,0,3.5,999,55,CS,1984
6,BOB,30-11-1984 00:00,300,6,999,115,SCS,1984
6,BOB,01-12-1984 00:00,300,6,999,115,SCS,1984
6,BOB,01-12-1984 00:00,1200,3.5,999,55,CS,1984
6,BOB,01-12-1984 00:00,1800,2,999,30,DD,1984
6,BOB,02-12-1984 00:00,300,1.5,999,25,D,1984
6,BOB,02-12-1984 00:00,300,1.5,999,25,D,1984
6,BOB,02-12-1984 00:00,300,1.5,999,25,D,1984
7,ARB,04-12-1984 00:00,0,1.5,999,25,D,1984
7,ARB,04-12-1984 00:00,300,2,999,30,DD,1984
7,ARB,04-12-1984 00:00,1200,2,999,30,DD,1984
7,ARB,05-12-1984 00:00,300,2.5,999,30,DD,1984
7,ARB,05-12-1984 00:00,600,1.5,999,25,D,1984
7,ARB,05-12-1984 00:00,1200,1.5,999,25,D,1984
1,BOB,21-05-1985 00:00,2100,1.5,999,25,D,1985
1,BOB,22-05-1985 00:00,300,1.5,999,25,D,1985
1,BOB,22-05-1985 00:00,330,1.5,999,25,D,1985
1,BOB,22-05-1985 00:00,1200,2.5,999,35,CS,1985
1,BOB,23-05-1985 00:00,300,2.5,999,40,CS,1985
1,BOB,23-05-1985 00:00,600,3,999,45,CS,1985
1,BOB,24-05-1985 00:00,300,3,999,45,CS,1985
1,BOB,24-05-1985 00:00,1200,3.5,999,55,SCS,1985
1,BOB,24-05-1985 00:00,1800,3.5,999,55,SCS,1985
1,BOB,24-05-1985 00:00,2000,3.5,999,55,SCS,1985
1,BOB,24-05-1985 00:00,2200,4,999,65,VSCS,1985
1,BOB,25-05-1985 00:00,300,3.5,999,50,SCS,1985
1,BOB,25-05-1985 00:00,1200,2.5,999,35,CS,1985
1,BOB,25-05-1985 00:00,1800,1.5,999,25,D,1985
1,BOB,25-05-1985 00:00,1800,1.5,999,25,D,1985
1,BOB,25-05-1985 00:00,1800,1.5,999,25,D,1985
2,ARB,28-05-1985 00:00,300,1.5,999,25,D,1985
2,ARB,28-05-1985 00:00,1200,2,999,30,DD,1985
2,ARB,29-05-1985 00:00,300,2.5,999,35,DD,1985
2,ARB,29-05-1985 00:00,1200,3,999,45,CS,1985
2,ARB,30-05-1985 00:00,300,3,999,45,CS,1985
2,ARB,30-05-1985 00:00,1200,3,999,45,CS,1985
2,ARB,30-05-1985 00:00,1200,3,999,45,CS,1985
3,BOB,01-08-1985 00:00,300,1.5,999,25,D,1985
3,BOB,01-08-1985 00:00,1200,1.5,999,25,D,1985
3,BOB,01-08-1985 00:00,1800,1.5,999,25,D,1985
3,BOB,02-08-1985 00:00,0,1.5,999,25,D,1985
3,BOB,02-08-1985 00:00,0,1.5,999,25,D,1985
4,BOB,06-08-1985 00:00,300,1.5,999,25,D,1985
4,BOB,06-08-1985 00:00,600,1.5,999,25,D,1985
4,BOB,06-08-1985 00:00,1200,1.5,999,25,D,1985
4,BOB,07-08-1985 00:00,300,1.5,999,25,D,1985
4,BOB,07-08-1985 00:00,1200,1.5,999,20,D,1985
4,BOB,08-08-1985 00:00,300,1.5,999,20,D,1985
4,BOB,08-08-1985 00:00,1200,1.5,999,20,D,1985
4,BOB,09-08-1985 00:00,300,1.5,999,20,D,1985
4,BOB,09-08-1985 00:00,300,1.5,999,20,D,1985
5,BOB,14-08-1985 00:00,300,1.5,999,25,D,1985
5,BOB,14-08-1985 00:00,600,1.5,999,25,D,1985
5,BOB,14-08-1985 00:00,1200,1.5,999,25,D,1985
5,BOB,15-08-1985 00:00,0,1.5,999,25,D,1985
5,BOB,15-08-1985 00:00,0,1.5,999,25,D,1985
6,BOB,19-09-1985 00:00,300,1.5,999,25,D,1985
6,BOB,19-09-1985 00:00,1200,1.5,999,25,D,1985
6,BOB,19-09-1985 00:00,1800,2,999,30,DD,1985
6,BOB,20-09-1985 00:00,0,2,999,30,DD,1985
6,BOB,20-09-1985 00:00,300,2.5,999,35,CS,1985
6,BOB,20-09-1985 00:00,600,3,999,40,CS,1985
6,BOB,20-09-1985 00:00,1200,3,999,45,CS,1985
6,BOB,20-09-1985 00:00,1800,3,999,35,CS,1985
6,BOB,21-09-1985 00:00,0,2,999,30,DD,1985
6,BOB,21-09-1985 00:00,300,2,999,30,DD,1985
6,BOB,21-09-1985 00:00,600,2,999,30,DD,1985
6,BOB,21-09-1985 00:00,1200,1.5,999,25,D,1985
6,BOB,21-09-1985 00:00,1200,1.5,999,25,D,1985
7,BOB,01-10-1985 00:00,300,1.5,999,25,D,1985
7,BOB,01-10-1985 00:00,1200,1.5,999,25,D,1985
7,BOB,02-10-1985 00:00,300,1.5,999,25,D,1985
7,BOB,02-10-1985 00:00,300,1.5,999,25,D,1985
8,ARB,06-10-1985 00:00,300,1.5,999,25,D,1985
8,ARB,06-10-1985 00:00,1200,1.5,999,25,D,1985
8,ARB,07-10-1985 00:00,300,1.5,999,25,D,1985
8,ARB,07-10-1985 00:00,1200,1.5,999,25,D,1985
8,ARB,08-10-1985 00:00,300,1.5,999,25,D,1985
8,ARB,08-10-1985 00:00,1200,1.5,999,25,D,1985
8,ARB,09-10-1985 00:00,300,1.5,999,25,D,1985
8,ARB,09-10-1985 00:00,300,1.5,999,25,D,1985
8,ARB,09-10-1985 00:00,300,1.5,999,25,D,1985
9,BOB,09-10-1985 00:00,300,1.5,999,25,D,1985
9,BOB,09-10-1985 00:00,600,2,999,30,D,1985
9,BOB,09-10-1985 00:00,1200,2.5,999,35,DD,1985
9,BOB,09-10-1985 00:00,1800,2.5,999,35,DD,1985
9,BOB,10-10-1985 00:00,300,2.5,999,35,DD,1985
9,BOB,10-10-1985 00:00,300,2.5,999,35,DD,1985
9,BOB,10-10-1985 00:00,1200,3,999,40,CS,1985
9,BOB,10-10-1985 00:00,1500,3,999,45,CS,1985
9,BOB,10-10-1985 00:00,2100,3,999,45,CS,1985
9,BOB,11-10-1985 00:00,300,3,999,40,CS,1985
9,BOB,12-10-1985 00:00,1200,2.5,999,35,DD,1985
9,BOB,13-10-1985 00:00,1200,1.5,999,35,DD,1985
9,BOB,13-10-1985 00:00,1200,1.5,999,35,DD,1985
10,BOB,13-10-1985 00:00,1200,1.5,999,25,D,1985
10,BOB,14-10-1985 00:00,300,2,999,30,DD,1985
10,BOB,14-10-1985 00:00,1200,2,999,30,DD,1985
10,BOB,14-10-1985 00:00,1500,2.5,999,35,CS,1985
10,BOB,15-10-1985 00:00,300,2.5,999,35,CS,1985
10,BOB,15-10-1985 00:00,1200,3,999,45,SCS,1985
10,BOB,16-10-1985 00:00,300,2.5,999,35,CS,1985
10,BOB,17-10-1985 00:00,300,2,999,30,DD,1985
10,BOB,17-10-1985 00:00,300,2,999,30,DD,1985
11,BOB,12-11-1985 00:00,300,1.5,999,25,D,1985
11,BOB,12-11-1985 00:00,1200,1.5,999,25,D,1985
11,BOB,12-11-1985 00:00,1200,1.5,999,25,D,1985
12,BOB,15-11-1985 00:00,300,1.5,999,25,D,1985
12,BOB,15-11-1985 00:00,1200,2,999,30,DD,1985
12,BOB,16-11-1985 00:00,1200,2.5,999,35,CS,1985
12,BOB,17-11-1985 00:00,100,2.5,999,35,CS,1985
12,BOB,17-11-1985 00:00,300,2.5,999,35,CS,1985
12,BOB,17-11-1985 00:00,1200,1.5,999,25,D,1985
12,BOB,17-11-1985 00:00,1200,1.5,999,25,D,1985
13,BOB,11-12-1985 00:00,600,1.5,999,25,D,1985
13,BOB,11-12-1985 00:00,1200,2,999,30,DD,1985
13,BOB,12-12-1985 00:00,300,2,999,30,DD,1985
13,BOB,12-12-1985 00:00,1200,3,999,35,CS,1985
13,BOB,13-12-1985 00:00,300,3,999,35,CS,1985
13,BOB,13-12-1985 00:00,1200,3,999,35,CS,1985
13,BOB,14-12-1985 00:00,300,1.5,999,25,D,1985
13,BOB,14-12-1985 00:00,300,1.5,999,25,D,1985
13,BOB,14-12-1985 00:00,300,1.5,999,25,D,1985
14,LAND,05-08-1985 00:00,300,1.5,999,25,D,1985
14,LAND,05-08-1985 00:00,1200,1.5,999,25,D,1985
14,LAND,06-08-1985 00:00,300,1.5,999,25,D,1985
14,LAND,06-08-1985 00:00,300,1.5,999,25,D,1985
15,LAND,23-09-1985 00:00,300,1.5,999,25,D,1985
15,LAND,23-09-1985 00:00,1200,1.5,999,25,D,1985
15,LAND,24-09-1985 00:00,300,1.5,999,25,D,1985
15,LAND,24-09-1985 00:00,1200,1.5,999,25,D,1985
1,BOB,07-01-1986 00:00,1200,2,999,30,DD,1986
1,BOB,08-01-1986 00:00,300,2,999,30,DD,1986
1,BOB,08-01-1986 00:00,1200,1.5,999,25,D,1986
1,BOB,08-01-1986 00:00,1200,1.5,999,25,D,1986
2,LAND,22-07-1986 00:00,300,1.5,999,25,D,1986
2,LAND,22-07-1986 00:00,1200,1.5,999,25,D,1986
